path            home              corner-store      3.1
path            corner-store      home              3.1
sidewalk        home              fire-station      3.3
sidewalk        fire-station      home              3.3
north-street    corner-store      school            4.2
north-street    school            corner-store      4.2
hill-street     home              coffee-shop       3.6
hill-street     coffee-shop       home              3.6
narrows         fire-station      coffee-shop       5.1
narrows         coffee-shop       fire-station      5.1
central         home              bus-station       6.9
central         bus-station       home              6.9
elm-street      school            bus-station       5.8
elm-street      bus-station       school            5.8
the-avenue      coffee-shop       bus-station       4.9
the-avenue      bus-station       coffee-shop       4.9
back-street     fire-station      police-station    9.9
back-street     police-station    fire-station      9.9
side-street     coffee-shop       donut-shop        6.6
side-street     donut-shop        coffee-shop       6.6
lower-main      police-station    grocery-store     3.9
lower-main      grocery-store     police-station    3.9
upper-main      grocery-store     donut-shop        3.7
upper-main      donut-shop        grocery-store     3.7
alley           grocery-store     gym               4.2
alley           gym               grocery-store     4.2
grimey-place    police-station    factory           6.3
grimey-place    factory           police-station    6.3
damp-drive      factory           gym               4.9
damp-drive      gym               factory           4.9
long-drive      gym               car-dealer       13.0
long-drive      car-dealer        gym              13.0
back-road       car-dealer        truck-stop       15.3
back-road       truck-stop        car-dealer       15.3
highway-north   bus-station       fast-food         4.2
highway-north   fast-food         bus-station       4.2
highway-east    fast-food         bookstore         4.2
highway-east    bookstore         fast-food         4.2
highway-south   bookstore         truck-stop        1.4
highway-south   truck-stop        bookstore         1.4
overgrown-path  fast-food         car-dealer       27.9
overgrown-path  car-dealer        fast-food        27.9
hill-pass       school            stadium          18.1
hill-pass       stadium           school           18.1
stadium-street  bus-station       stadium          16.0
stadium-street  stadium           bus-station      16.0
gravel-road     stadium           ranch            15.4
gravel-road     ranch             stadium          15.4
old-highway     ranch             diner            19.1
old-highway     diner             ranch            19.1
dirt-road       ranch             park             35.5
dirt-road       park              ranch            35.5
access-road     diner             bookstore        14.4
access-road     bookstore         diner            14.4
